Day,Sales,Trading Profit,Operating Expense,Net Profit
85,29040716,11342744,9206056,2118688
86,29077721,11325679,9280140,2027539
87,30005588,11256550,9422973,1815577
88,30054121,11292508,9478753,1825755
89,30140331,11342402,9532619,1821783
90,31495395,11880297,9588923,2303374
